CreditTypeDevelopers

Ben987
Estsanatlehi
Ellie
Rama
Nina
git4nick
wildsj
Hareo
Deep
Ada
Ace
gatetrek
FeuertinKira
Atasly
Sekkmer
Ruilove
Lucritius
Sin

CreditTypeTranslators

Da'Inihlus|MAKeevchanin
adokilume|gottspende
Kurisu|Drussler1
Miisha|tree13003
Rafael|Remiliacn
Es|Knife
Dallun511|Fluend
Dwscdv3|zhengjie
Wang|Lanarux
WghrYkBGUjBt|Pinogic
asdcvbgf|Fareeha
Gelmezon|Pjarayuzu
Wozaiha|DekuWang
Juli

CreditTypeSupport

Cleon|Kyra
Gnarp|Haruhi
Constantan|Echo
EllieThePink|Nythaleath
Felix|EmilyR
Raven|Fleisch11
Sepia|Sidious
Verity|Zoe
Sandrine|Aeren
Manilla|Titania
Anna|BxRad
Jomshir|Aldarris
Lera|BufaloAcquatico
Natsuki|Karamel
Kotax|Tessa
Devil621|Ewhac
|Leah
Cecilia|TechTheAwesome
Kirsty|GermanPerson
Luna|Leila
EveFerox|harmony
vsan|u3shit
Crimsonfox|Uwnodi
Dash|Tifa
MrsHoudini|Wultir
Akita|Def
Shion|ZeroDawn
Sarukami|Claudia
EmilyFox|Evals
Klorpa|AlexBlakeKincaid
7Sonic|Kitsune-Hellfire
CthulhuDancing|Amiciaderune
Bluesilv|Kate
AshKitty|Sybil
Terenthi|Dordimar
Kalina|Toshiro
Nikoleis|Jilly
ADRCorp|Ulith
Victor|Elda
Arctic/Firefly|Sera
Kira|Brian
MoonlightGleam|FunnyEnthusiasm
BunnyMadMan|Tyrsen
Kimei|YuccaThePlant
RedStacey|Lara
TBoneShark|Tickler2000
Buizel|Tsubasahane
LisaTheOrange|Myna
ta|Diaperand
Daubeny|TuxyQ
Buizel|Miku
DoberBit|Kaede
410|Frenchurch
JimmyG|Nikky
Epona|EliseRoland
Yuki|VCode
Tama-chan|Stella
Nicole|Tui
Alfi|SkyFox
Arius|Anniclub
Livie53|Kehhaja
TomGlass1|Feldob66
Troposphere|Sqrt10pi
Demopans|Timeline
Meshwork100|Evilwumpus
Answork01|LeByrneAuChocolat
ZR1OQicz|Donna
Lojan|zajcud
Jegudiel|Fillia
Sally|InkerBot
NeverNewer|Xenodragon20
kastenbrotstueck|XinLian
KitsuMoon|Panzertigre
Birb|Triz
Mina|Mark
x3mmusic|Fereeha
Emdsa2|Dynilath
LeoYiMon|MinMaya
CheeseyCake92|Min
gambitx8664|Haaa
LunarKitsunify|Michiru
Sarah|huzpsb
Capy|Misssuu
Ahri|Arelia
EskCresh|babai
smolkat|Delighten
Katsumi|CookiesPlz
duckduckgoose420|Gangriel
K-Chan|Jess
Deya|ButterflySofia
Magdalena|Kit
Hanacark|Raksar
Rosa|RaeyNon
ShanonCinderheart

CreditTypePatrons

Megumin|Brad
Asriel|Hhhhh
Amazing|云雪
George|Taraly
PReimers|koka
Jacob|Salix
John|Jerry
Verena|Andres
Ultimate|Aybes
I.F.S.|PristessSakura
Jonas|shadowhack
Kim|Cerberus
Cool|jamal
Exusiai|jazzybanana
AlexG|TheBlackSwordsm
Sticks|Laurie
Canti|Thkdt
XDWolfie|Soulcollar
Teli|fumoffu
Dragokahn|dynilath
Tarram1010|Schrödingers
EBXD|Troubadix
Tam|Troy
Michel|Cm382714
Misa|Desch
Greendragon|WhiteSniper
Mindtie|Christian
bryce|Xepherio
Harrison|N
P|Bryan
Pandroth|artem
maniac|Michael
Joneleth|Rooster
Retr0|S1789
carolineniece|Eva
Signal_Flare|Jave
Blubberpups|hylper
JDz|coefficient
nswfaccbo|Ninjarap
Eva|sudoc
Töimies|Samurai
Daniel|kirokietory
Brytano|shadic99
Lucas|Ayden
Torrak07|Benjamin
Walle|Devon
TheGamerXxl1999|NIA
akiko|perrozz
Naifu|Craig
leggo|m8imasain
Kevin|Justin
Joey|Musa
Brotherhood|Gratzyn
ChillBlight|Jinx
Andrew|Odin's
Evgirio|Carl
Erwin|LKLY_BRSRK
John's|GoldenHunter224
Semi|Damonspl
Z|BLVCK_PINK
Averyy|kristian
Soldhart|Wassermelowne
firjdu|Not
tati|Mike
ddadeq|RandomJaeger
Katsumoto-San|xSnakex
lykeng45|FZ
William|General
DIDwa|Sparks
egge|Rickerddd
Fabian|Wow
ZeeMoros|Zhadka
Jerry|Babilon
Riley|Doughnut
ChubbyRain|Terra
Alex|Zatte
Gerardo|Feliks
diioriogiuseppe|Noohp
Charles|Christopher
Nick|SERENIAE
Bleh1228|DS
Sosquacio|Mert
Kaiser|Jaelyn
Herald|Rashnar
AquaH|Garth
SilentOutlaw|WonderBread459
Empress|Sparky
gang|callie
IHAVEDNA|Ben
Nero|crumb
Pegazs|Marshal
Robin|Ash
Daneal|ZTG_
Nutmeg|diabetus12
Dylan|Werner316
Amnesius|Phil
S|Leathur
Hakan|2
Ladakota|Kay
Just|Luceian
goblinbotherer|Kementariel
snippy|Luan
qwerty|J
Shailana|Beggarman
nicholas|FShow98
Anna|Josbos
Yusura|Bandis
DrnNck1|Jamie
Paul|rubmen
justteas|KingElrond
RN|Brendan
RinJack|Jamie
Anonymous4579|Just
Nathan|Echo
Granadier|Jeriko
Willie|Will
Shiftry|blankstm859
Step|luhaozhen
kimi|Emmanuel
rapapaska|Nodak
nourrisson|Gorbius
5HØ|Gatoloco33
CortanaV1|Zojuma
petteri|protoowl
_Jaquobinhi_|Andree
Thatotherguy|KaniusYup
Lothara|Ori
Timothy|davechips
Shai|Robert
David|Quitterie
Fieline|skuirpy
Dally|Matt
BotsGoneWild|Multilin
Josh|Rhavin
KolyaTheGopnik|Samonas
CrimsonGecko|Angel
WeebTrash0|Drthmalgys
Shira|Kukiruzumi
Maurycjio|[]
Richard|waxydig
thevlk|宇辰
Andy|Binjiro
pasche|zedither
Brandon|Paddy
Florentin|Niija
Kirin|Estiane
Chris|Pandy
1Thot|Turtle
what|bob
Totogros|master117
Zachary|Byenderman_HD
Kiai|Ingine
kid|Kai
Tomoyo|Surgeree
Dwarfo|Team
Mixeryew|Moon
Senpai|UnknownEntity3x
Xainie|Sabertooth
Emily|Joshua
Jakub|Gambit
thrawn8586|雏田菲雪
silence|ShinFubuki
Lonnie|Stein
Definitely|John
1911aperson|Jay
Christian|WolfNobleofTheN
Phaethon590|hildebrogda
ewhac|IchbinDieWelt
Robert|IZAPride
Firemonkey|TonyBoy
PendragonX|Mysterygame
SaiZaro|Nick
Jesse|MildlyPerturbed
子涵|Jaira
DB0|Melody
Tatsuya|Misa
WrapGirl|eli139
Rob|Good_Gremlin_SR
Link|Dennis
Suterusu|Ami
Amalie|Harald
Shigure|Qrroww
Aspen|桜月
Tree|darklink11
SKY|WolfTheGamerKin
Dimonium|joshua
Bob|Jacob
Knödelkommando|Benedito
MesorNona|neutronstar
Thelastsec|Teh_Greeny
Thomas|Windsor
General|Kenny
Sebastian|zeanox
BondageBabeAria|cokeman401
Spy|KoreanWK12
Bludshot|legand117
BBCXYZ8|Temmie
Jefferson|con
David|Anthony
JoeyDubDee|Bert
Busty|John
Alan|Richard
matthew|Whatsittooya
WinterImp|Joas
Yodiak|Chip
Ruud|Martin
skai|Midnight_
darklight|Josh
Juha|Demonese
Michaël|627
Derpinstion|Jhin
HAZUUUUUUU|Deadie
samuel|ptscion
KI|Hirosin
Ole|kirito
Albert|Rubber_Lover
James|Alex
A|Saltius
jace883|RobCopTwoPlay
Oupoot999|Lexy
Gavin|Ella
For|BlackWoRtEx
Chris|Andy
Matthew|Jimbo
Sandrine|mike
Kisala|Apearson1
Ritsuko_Isa|Kitsune
arun|Avarosa
Mike|CryptoGore68
Ray|hibiskus
ryan|Pandora
Dunderguy|KannaKaname
mmdwocao|mike
FrostBurnZX|Madhatter23
Malboro|Derenriche
