CreditTypeDevelopers

Ben987
Estsanatlehi
Rama
Ellie
Nina
git4nick
wildsj
Deep
Hareo
Ada
Ace
gatetrek
FeuertinKira
Atasly
Sin
Sekkmer
Ruilove
Lucritius

CreditTypeTranslators

Da'Inihlus|MAKeevchanin
adokilume|gottspende
Kurisu|Drussler1
Miisha|tree13003
Rafael|Remiliacn
Es|Knife
Dallun511|Fluend
Dwscdv3|zhengjie
Wang|Lanarux
WghrYkBGUjBt|Pinogic
asdcvbgf|Fareeha
Gelmezon|Pjarayuzu
Wozaiha|DekuWang
Juli

CreditTypeSupport

Kyra|Cleon
Gnarp|Haruhi
Constantan|Echo
EllieThePink|Nythaleath
Sepia|Zoe
Felix|EmilyR
Raven|Fleisch11
Verity|Sidious
Anna|Aeren
Sandrine|Titania
Manilla|BxRad
Jomshir|Leah
Lera|Aldarris
Natsuki|BufaloAcquatico
Kotax|Karamel
Dash|Tessa
Devil621|Ewhac
Cecilia|TechTheAwesome
Crimsonfox|GermanPerson
Kirsty|Leila
Luna|harmony
EveFerox|u3shit
vsan|Uwnodi
SubAnna|Tifa
MrsHoudini|Wultir
Akita|Def
Shion|ZeroDawn
Sarukami|Claudia
EmilyFox|Evals
Klorpa|AlexBlakeKincaid
7Sonic|Kitsune-Hellfire
CthulhuDancing|Amiciaderune
Bluesilv|Kate
AshKitty|Sybil
Terenthi|Dordimar
Kalina|Toshiro
Nikoleis|Jilly
ADRCorp|Ulith
Victor|Elda
Arctic/Firefly|Sera
x3mmusic|Brian
Kira|FunnyEnthusiasm
MoonlightGleam|Tyrsen
BunnyMadMan|YuccaThePlant
Kimei|Lara
RedStacey|Tickler2000
TBoneShark|Tsubasahane
Buizel|Myna
LisaTheOrange|Diaperand
ta|TuxyQ
Daubeny|Miku
Buizel|LeByrneAuChocolat
DoberBit|Kaede
410|Frenchurch
JimmyG|Nikky
Epona|EliseRoland
Yuki|VCode
Tama-chan|Stella
Nicole|Tui
Alfi|SkyFox
Arius|Anniclub
Livie53|Kehhaja
TomGlass1|Feldob66
Troposphere|Sqrt10pi
Demopans|Timeline
Meshwork100|Evilwumpus
Answork01|Arelia
Sarah|Donna
ZR1OQicz|zajcud
Lojan|Fillia
Jegudiel|InkerBot
Sally|Xenodragon20
NeverNewer|XinLian
kastenbrotstueck|Raksar
KitsuMoon|Panzertigre
Birb|Triz
Mina|ButterflySofia
Emdsa2|Mark
LeoYiMon|Fereeha
CheeseyCake92|Dynilath
gambitx8664|MinMaya
LunarKitsunify|Min
Capy|Haaa
Ahri|Michiru
EskCresh|huzpsb
smolkat|Misssuu
Katsumi|babai
duckduckgoose420|Delighten
K-Chan|CookiesPlz
Deya|Gangriel
Magdalena|Jess
Hanacark|Kit
Rosa|RaeyNon
ShanonCinderheart|Silvy
Likulisu

CreditTypePatrons

云雪|Megumin
Brad|Exe
Asriel|_20_05
Amazing|asd1520456080
George|ssww
-|Sulley
Mordred|Chrono.Draco
Miratex|Chris
Inquisitor|losgarr
holonoringo|ItsTheHutch
LightDimmer|walnus
Alpha|Taraly
maniac|micr0
koka|Signal_Flare
Jacob|Salix
John|Jerry
Verena|UltimateDespair
fun|Vojta
Aybes|I.F.S.
Jonas|Kim
Cerberus|Cool
jamal|Eric
Exusiai|jazzybanana
Thatotherguy|AlexG
Sticks|waxydig
Laurie|Canti
Thkdt|NeReFox
laach|XDWolfie
Surgeree|Soulcollar
Teli|SaiZaro
fumoffu|Dragokahn
dynilath|Tarram1010
Schrödingers|EBXD
Troubadix|Tam
Michel|Cm382714
Misa|Desch
Greendragon|WhiteSniper
Mindtie|Christian
bryce|Xepherio
WalkerTexaswalk|Thomas
Stacy|Johan
Melanie|Furioso
Dara|Lo22i
Jay|Angel_Of_Dead
Jere|Kingsbu
EW|tara
Qwerty|Pawnshop57
Jackson|Co
Kimo|Walker
NBSgamesAT|Tray
LHM|Christopher
Rdo4y8|r231ase1
Snarblebongus|Crashgaming
Maxime|Bornburner
Pyro|PerryBlytapus
俞銘|Im
Harrison|N
P|Bryan
Jogapher|Pandroth
artem|Michael
Joneleth|Rooster
Retr0|carolineniece
Jave|Blubberpups
hylper|JDz
nswfaccbo|Ninjarap
sudoc|Töimies
Samurai|Daniel
kirokietory|Brytano
shadic99|Lucas
Ayden|Benjamin
NIA|Naifu
Awesome_Gaming_|leggo
m8imasain|Givenslack
Demon|Kevin
Joey|Musa
Brotherhood|Gratzyn
ChillBlight|Jinx
Andrew|Evgirio
Carl|Erwin
LKLY_BRSRK|John's
GoldenHunter224|Semi
Damonspl|Z
Averyy|kristian
Soldhart|Wassermelowne
firjdu|Not
tati|Train_Eater
ddadeq|RandomJaeger
lykeng45|William
대한|Adrien
General|didwa
egge|Rickerddd
Fabian|Wow
Cuz|Zhadka
Jerry|Babilon
Riley|Doughnut
ChubbyRain|Terra
Zatte|Gerardo
Feliks|diioriogiuseppe
Noohp|lovethecartoons
Christopher|Nick
Bleh1228|DS
Pauriton|Sosquacio
Jaelyn|NiXi
Rashnar|AquaH
SilentOutlaw|WonderBread459
Empress|callie
IHAVEDNA|Ben
Nero|crumb
Pegazs|L
Marshal|Robin
Sage|Daneal
ZTG_|Nutmeg
Dylan|Lee
Werner316|Amnesius
Shini|Phil
Hakan|2
Ladakota|Kay
Just|Luceian
goblinbotherer|tom
Kementariel|snippy
Stalker|JF
Shailana|Beggarman
FShow98|Und3dDraKe
Josbos|Yusura
Bandis|DrnNck1
James1835|Paul
rubmen|justteas
KingElrond|RN
Brendan|Jamie
Anonymous4579|Just
Echo|Granadier
Jeriko|Willie
Will|Shiftry
Step|Stephanie
luhaozhen|kimi
Emmanuel|Nodak
nourrisson|Gatoloco33
CortanaV1|RandomBasti
petteri|protoowl
_Jaquobinhi_|Andree
Alex|Lothara
Timothy|davechips
Don|Shai
Robert|David
Quitterie|Fieline
林未央|Dally
BotsGoneWild|Josh
Rhavin|KolyaTheGopnik
charles|Georges
Samonas|CrimsonGecko
Barbara|Drthmalgys
Quique|Shira
Lukat|Kukiruzumi
Maurycjio|[]
thevlk|Finnynator
Sinon_S|Andy
Binjiro|pasche
zedither|Brandon
Paddy|Florentin
Niija|Kirin
Estiane|Chris
Pandy|1Thot
andy|Turtle
what|bob
Totogros|master117
Zachary|Timothy
Byenderman_HD|Kiai
Ingine|kid
Kai|Tomoyo
Dwarfo|NEKO
Mixeryew|Moon
UnknownEntity3x|kisily
Xainie|Sabertooth
Joshua|Jakub
Gambit|thrawn8586
雏田菲雪|silence
ShinFubuki|Lonnie
Stein|Definitely
John|1911aperson
Christian|WolfNobleofTheN
Phaethon590|hildebrogda
ewhac|michael
IchbinDieWelt|Robert
Firemonkey|TonyBoy
PendragonX|Mysterygame
Nick|Jesse
MildlyPerturbed|子涵
Jaira|Ryan
DB0|Melody
Tatsuya|Misa
WrapGirl|eli139
Rob|Link
Dennis|Suterusu
Ami|Amalie
Harald|Shigure
Qrroww|Aspen
桜月|Tree
darklink11|SKY
WolfTheGamerKin|Dimonium
joshua|Horus
Jacob|whitewolf7707
Knödelkommando|Icehouse
Lyall|Benedito
MesorNona|neutronstar
Thelastsec|Teh_Greeny
Thomas|Lorenzo69
Windsor|General
Kenny|Sebastian
zeanox|BondageBabeAria
cokeman401|Spy
KoreanWK12|Bludshot
Visage|legand117
BBCXYZ8|Okamper25
Jefferson|con
David|Anthony
JoeyDubDee|Busty
John|TrapperJoe
Richard|Shadow56
suoluoke|Whatsittooya
WinterImp|Joas
WonderCate|Yodiak
Liam|Chip
Ruud|Martin
skai|Midnight_
darklight|Josh
Juha|Michaël
627|Derpinstion
Jhin|HAZUUUUUUU
Chief_K|Deadie
samuel|ptscion
KI|Hirosin
LongStick|kirito
Albert|Rubber_Lover
