CheckAll,Check all
CheckNone,Check none
Next,Next page
Exit,Apply the advanced rule
BlockScreenTitle,Check the Bondage Club areas that your submissive won't be able to enter.
BlockAppearanceTitle,Check the appearance zones that your submissive won't be able to change by herself.
BlockItemGroupTitle,Check the item zones that your submissive won't be able to access on herself.
BlockItemGroupItemBoots,Feet & Toes
BlockItemGroupItemFeet,Lower Legs
BlockItemGroupItemLegs,Upper Legs
BlockItemGroupItemVulva,Pussy & Vagina
BlockItemGroupItemVulvaPiercings,Clitoris
BlockItemGroupItemButt,Butt / Anal
BlockItemGroupItemPelvis,Pelvis & Belly
BlockItemGroupItemTorso,Torso (Left)
BlockItemGroupItemTorso2,Torso (Right)
BlockItemGroupItemNipples,Nipples
BlockItemGroupItemNipplesPiercings,Nipples Piercings
BlockItemGroupItemBreast,Breast
BlockItemGroupItemHands,Hands
BlockItemGroupItemHandheld,Handheld
BlockItemGroupItemArms,Arms & Shoulders
BlockItemGroupItemNeck,Neck
BlockItemGroupItemNeckAccessories,Neck Accessories
BlockItemGroupItemNeckRestraints,Neck Restraints
BlockItemGroupItemMouth,Mouth (Left)
BlockItemGroupItemMouth2,Mouth (Center)
BlockItemGroupItemMouth3,Mouth (Right)
BlockItemGroupItemNose,Nose
BlockItemGroupItemEars,Ears
BlockItemGroupItemHead,Head
BlockItemGroupItemHood,Hood
BlockItemGroupItemMisc,Misc
BlockItemGroupItemDevices,Devices
BlockItemGroupItemAddon,Addons
BlockScreenShop,Club Shop
BlockScreenPrivate,Private Room
BlockScreenIntroduction,Introduction Class
BlockScreenMaidQuarters,Maid Quarters
BlockScreenKidnapLeague,Kidnappers League
BlockScreenShibariDojo,Shibari Dojo
BlockScreenSarah,Explore the Club
BlockScreenTrouble,Look for Trouble
BlockScreenSlaveMarket,Slave Market
BlockScreenCell,Timer Cell
BlockScreenLARPBattle,LARP Battles
BlockScreenCollege,College
BlockScreenAsylum,Asylum
BlockScreenPoker,Bondage Poker
BlockScreenInfiltration,Infiltration
BlockScreenMovieStudio,Movie Studio
BlockScreenMagicSchool,Magic School
BlockScreenPlatform,Bondage Brawl
BlockScreenCrafting,Item Crafting
BlockScreenGambling,Gambling
BlockScreenPrison,Prison
BlockScreenPhotographic,Photographic
BlockScreenStable,Stable
BlockScreenMagic,Houdini's Theater
BlockScreenNursery,The Nursery
BlockScreenCafe,Cafe
BlockScreenArcade,Arcade
BlockScreenClubCard,Club Card Lounge
